,b param.,WAPE in %
0,15.0,20.74633394002419
1,15.100000000000001,20.6213726267417
2,15.200000000000001,20.500397872890137
3,15.3,20.383593791543984
4,15.4,20.271602392816437
5,15.5,20.16267916444519
6,15.600000000000001,20.057423669664598
7,15.700000000000001,19.955277532493835
8,15.8,19.856853004202645
9,15.9,19.761448443352442
10,16.0,19.670239236308202
11,16.1,19.58207749605194
12,16.2,19.49779697712414
13,16.3,19.417811749035913
14,16.400000000000002,19.34172813399543
15,16.5,19.270268807422962
16,16.6,19.202785659625015
17,16.7,19.140181756071716
18,16.8,19.081825436667245
19,16.900000000000002,19.027512279062105
20,17.0,18.977406370936773
21,17.1,18.931787595940694
22,17.2,18.890064854912925
23,17.3,18.852934824604464
24,17.400000000000002,18.820680608363517
25,17.5,18.792219248475984
26,17.6,18.767839987595767
27,17.7,18.748608588726476
28,17.8,18.732490227897422
29,17.900000000000002,18.721098759034945
30,18.0,18.714624112425792
31,18.1,18.712799320830378
32,18.2,18.715712246104147
33,18.3,18.723208284511305
34,18.400000000000002,18.7356388218764
35,18.5,18.753252766737386
36,18.6,18.775248206400924
37,18.7,18.801297658275207
38,18.8,18.831173015110767
39,18.900000000000002,18.86503713424085
40,19.0,18.903272056975798
41,19.1,18.945299150876874
42,19.200000000000003,18.992293655085376
43,19.3,19.043687893282126
44,19.400000000000002,19.09894051477811
45,19.5,19.158434719145536
46,19.6,19.22210688336827
47,19.700000000000003,19.289338444317544
48,19.8,19.35987260898543
49,19.900000000000002,19.433808152005266
